Gender,Age,Debt,Married,BankCustomer,Industry,Ethnicity,YearsEmployed,PriorDefault,Employed,CreditScore,DriversLicense,Citizen,ZipCode,Income,Approved
1,30,0.0,1,1,Industrials,White,1.25,1,1,1,0,ByBirth,202,0,1
0,58,4.46,1,1,Materials,Black,3.04,1,1,6,0,ByBirth,43,560,1
0,24,0.5,1,1,Materials,Black,1.5,1,0,0,0,ByBirth,280,824,1
1,27,1.54,1,1,Industrials,White,3.75,1,1,5,1,ByBirth,100,3,1
1,20,5.625,1,1,Industrials,White,1.71,1,0,0,0,ByOtherMeans,120,0,1
1,32,4.0,1,1,CommunicationServices,White,2.5,1,0,0,1,ByBirth,360,0,1
1,33,1.04,1,1,Transport,Black,6.5,1,0,0,1,ByBirth,164,31285,1
0,22,11.585,1,1,InformationTechnology,White,0.04,1,0,0,0,ByBirth,80,1349,1
1,54,0.5,0,0,Financials,Black,3.96,1,0,0,0,ByBirth,180,314,1
1,42,4.915,0,0,Industrials,White,3.165,1,0,0,1,ByBirth,52,1442,1
1,22,0.83,1,1,Energy,Black,2.165,0,0,0,1,ByBirth,128,0,1
1,29,1.835,1,1,Energy,Black,4.335,1,0,0,0,ByBirth,260,200,1
0,38,6.0,1,1,Financials,White,1.0,1,0,0,1,ByBirth,0,0,1
1,48,6.04,1,1,Financials,White,0.04,0,0,0,0,ByBirth,0,2690,1
0,45,10.5,1,1,Materials,White,5.0,1,1,7,1,ByBirth,0,0,1
1,36,4.415,0,0,Financials,White,0.25,1,1,10,1,ByBirth,320,0,1
1,28,0.875,1,1,CommunicationServices,White,0.96,1,1,3,1,ByBirth,396,0,1
0,23,5.875,1,1,Materials,White,3.17,1,1,10,0,ByBirth,120,245,1
1,21,0.25,1,1,Real Estate,Black,0.665,1,0,0,1,ByBirth,0,0,1
0,19,8.585,1,1,InformationTechnology,Black,0.75,1,1,7,0,ByBirth,96,0,1
1,25,11.25,1,1,Energy,White,2.5,1,1,17,0,ByBirth,200,1208,1
1,23,1.0,1,1,Energy,White,0.835,1,0,0,0,ByOtherMeans,300,0,1
0,47,8.0,1,1,Energy,White,7.875,1,1,6,1,ByBirth,0,1260,1
0,27,14.5,1,1,Utilities,Black,3.085,1,1,1,0,ByBirth,120,11,1
0,41,6.5,1,1,Materials,White,0.5,1,1,3,1,ByBirth,145,0,1
0,15,0.585,1,1,Energy,Black,1.5,1,1,2,0,ByBirth,100,0,1
0,47,13.0,1,1,ConsumerDiscretionary,Asian,5.165,1,1,9,1,ByBirth,0,0,1
1,56,18.5,1,1,Real Estate,Asian,15.0,1,1,17,1,ByBirth,0,0,1
1,57,8.5,1,1,Education,Black,7.0,1,1,3,0,ByBirth,0,0,1
1,42,1.04,1,1,Industrials,White,5.0,1,1,6,1,ByBirth,500,10000,1
1,29,14.79,1,1,ConsumerStaples,White,5.04,1,1,5,1,ByBirth,168,0,1
1,42,9.79,1,1,Utilities,Black,7.96,1,1,8,0,ByBirth,0,0,1
1,49,7.585,1,1,ConsumerDiscretionary,Asian,7.585,1,1,15,1,ByBirth,0,5000,1
