Gender,Age,Married,YearsEmployed,Income,Approved
1,30,1,1.25,0.0,1
0,58,1,3.04,632.7936783729194,1
0,24,1,1.5,671.4170529909472,1
1,27,1,3.75,109.86122886681098,1
1,20,1,1.71,0.0,1
1,32,1,2.5,0.0,1
1,33,1,6.5,1035.0894028432463,1
0,22,1,0.04,720.7118856207755,1
1,54,0,3.96,574.9392985908253,1
1,42,0,3.165,727.3786317844895,1
1,22,1,2.165,0.0,1
1,29,1,4.335,529.8317366548036,1
0,38,1,1.0,0.0,1
1,48,1,0.04,789.7296472595885,1
0,45,1,5.0,0.0,1
1,36,0,0.25,0.0,1
1,28,1,0.96,0.0,1
0,23,1,3.17,550.1258210544728,1
1,21,1,0.665,0.0,1
0,19,1,0.75,0.0,1
1,25,1,2.5,709.672137849476,1
1,23,1,0.835,0.0,1
0,47,1,7.875,713.8866999945524,1
0,27,1,3.085,239.78952727983707,1
0,41,1,0.5,0.0,1
0,15,1,1.5,0.0,1
0,47,1,5.165,0.0,1
1,56,1,15.0,0.0,1
1,57,1,7.0,0.0,1
1,42,1,5.0,921.0340371976183,1
1,29,1,5.04,0.0,1
1,42,1,7.96,0.0,1
1,49,1,7.585,851.7193191416238,1
0,36,1,5.0,829.4049640102028,1
0,22,1,0.415,632.7936783729194,1
1,27,1,2.0,355.53480614894136,1
1,27,1,1.835,656.9481420414296,1
0,23,1,0.5,631.1734809152915,1
1,27,0,0.25,621.4608098422192,1
1,54,1,14.415,570.3782474656201,1
1,34,1,4.5,539.8162701517753,1
1,28,1,5.335,773.3245646529795,1
1,29,1,0.75,460.51701859880916,1
1,39,1,8.625,0.0,1
1,56,0,28.5,270.805020110221,1
1,54,1,2.625,564.8974238161206,1
0,41,0,0.125,711.9635638017636,1
1,31,1,6.04,570.3782474656201,1
1,41,1,3.5,0.0,1
1,23,1,0.165,0.0,1
0,25,1,0.875,0.0,1
1,26,1,1.75,0.0,1
1,37,1,0.04,866.561319653451,1
1,34,1,0.0,529.8317366548036,1
1,34,1,7.415,0.0,1
1,23,0,0.835,570.3782474656201,1
1,23,1,0.085,0.0,1
1,44,1,5.0,0.0,1
1,35,1,5.75,0.0,1
1,43,1,6.0,0.0,1
1,56,1,1.25,0.0,1
1,31,1,3.0,659.3044534142437,1
0,23,0,1.5,599.1464547107981,1
0,20,1,1.585,0.0,1
1,26,1,4.29,0.0,1
1,34,1,1.54,1081.9778284410284,1
0,36,1,2.0,612.2492809514387,1
1,25,1,0.25,962.2979683832348,1
1,19,1,1.46,799.0915463091326,1
1,35,1,1.625,621.4608098422192,1
1,32,1,1.585,0.0,0
1,34,1,12.5,0.0,0
0,38,1,13.5,0.0,0
1,44,1,10.75,0.0,0
1,44,0,1.625,69.31471805599453,0
1,20,1,0.375,0.0,0
1,34,1,0.125,0.0,0
0,19,0,0.585,0.0,0
1,21,0,2.5,299.57322735539907,0
1,21,1,0.25,0.0,0
1,49,1,0.0,0.0,0
0,27,1,2.0,0.0,0
1,39,1,0.25,0.0,0
0,28,1,3.0,0.0,0
1,27,1,0.455,0.0,0
1,37,1,5.0,0.0,0
1,28,1,0.875,0.0,0
1,25,0,4.0,0.0,0
1,34,1,1.0,0.0,0
0,49,1,0.0,329.5836866004329,0
1,62,0,5.0,0.0,0
1,31,1,0.5,0.0,0
1,28,0,8.5,0.0,0
1,52,0,9.46,460.51701859880916,0
1,28,0,1.5,541.610040220442,0
0,28,1,0.5,0.0,0
1,23,0,0.125,0.0,0
1,28,1,0.835,0.0,0
0,22,0,3.0,0.0,0
0,28,1,1.0,621.4608098422192,0
1,37,0,0.25,599.1464547107981,0
1,35,0,4.0,0.0,0
1,18,1,0.375,363.75861597263855,0
1,25,1,2.25,160.94379124341003,0
1,27,0,5.75,0.0,0
1,54,1,0.0,486.75344504555824,0
1,28,1,0.5,0.0,0
0,25,0,4.5,0.0,0
1,40,0,10.0,0.0,0
0,19,1,0.795,160.94379124341003,0
1,29,1,3.5,0.0,0
0,24,0,0.5,499.0432586778736,0
1,24,1,0.875,0.0,0
0,33,1,1.0,0.0,0
1,20,0,1.375,534.7107530717468,0
0,25,1,1.29,0.0,0
1,37,1,11.5,160.94379124341003,0
1,52,1,6.29,932.3847612769777,1
1,57,1,14.0,719.4436851100335,1
0,20,1,0.335,391.2023005428146,1
1,39,1,0.04,570.3782474656201,1
1,25,1,1.21,555.2959584921617,1
0,24,1,1.5,634.0359303727752,1
0,44,1,7.375,0.0,1
0,23,1,8.5,0.0,1
1,34,1,7.5,690.7755278982137,1
1,47,1,2.5,782.8038032125829,1
1,22,1,2.5,669.5798917058491,1
1,34,1,3.25,641.3458957167358,1
0,28,1,0.835,0.0,1
1,67,1,13.0,0.0,1
1,20,1,2.25,501.0635294096256,1
0,47,1,6.5,1084.1539776191796,1
1,36,1,2.5,590.5361848054571,1
1,32,1,5.5,690.7755278982137,1
1,48,1,6.0,0.0,1
1,39,0,0.5,690.7755278982137,1
1,33,1,4.25,0.0,1
0,18,1,1.625,639.6929655216146,1
0,26,1,5.0,851.7193191416238,1
0,31,1,0.625,0.0,1
0,56,1,0.0,550.9388336627977,1
1,43,0,1.75,592.6926025970411,1
1,22,1,2.0,562.7621113690636,1
1,27,1,5.085,671.7804695023691,1
1,32,1,2.75,763.6269603379374,1
1,23,1,2.375,636.6470447731439,1
0,40,0,8.0,774.0664401917242,1
0,30,1,4.0,802.7802848370312,1
0,52,1,5.5,769.6212639346408,1
0,46,1,0.415,179.1759469228055,1
0,58,1,4.0,737.9008127628305,1
1,37,1,4.25,0.0,1
1,23,1,1.085,768.8913336864796,1
1,32,1,5.5,0.0,1
0,21,0,0.0,0.0,1
0,28,0,2.54,0.0,1
0,68,1,0.0,812.4446855715847,1
1,28,1,4.165,0.0,1
1,34,0,0.04,760.0902459542082,1
1,27,1,1.0,892.8507824313293,1
1,44,1,1.75,270.805020110221,1
1,25,1,1.665,299.57322735539907,1
1,32,0,0.04,0.0,1
0,60,1,11.0,926.4923249746473,1
0,40,1,1.75,672.9824070489475,1
1,19,1,1.0,599.1464547107981,1
0,32,1,0.04,932.1613374385612,1
1,36,1,9.0,645.9904454377535,1
1,37,0,1.5,0.0,1
0,25,0,0.25,0.0,1
1,41,1,15.0,0.0,1
1,56,1,8.0,761.4805364711074,1
0,49,1,8.5,0.0,1
1,22,1,1.335,0.0,1
1,27,0,0.375,697.0730078143525,1
1,25,1,3.0,0.0,1
0,26,1,1.415,501.0635294096256,1
0,18,1,1.21,629.156913955832,1
1,20,1,1.96,506.2595033026967,1
1,47,1,15.0,961.5805480084348,1
0,21,1,0.5,0.0,1
0,20,1,0.165,179.1759469228055,1
0,57,1,5.5,800.6367567650246,1
0,22,1,2.585,808.8561805276233,1
1,48,1,12.5,741.1556287811163,1
1,40,1,3.5,621.4608098422192,1
1,40,1,5.0,802.7802848370312,1
0,28,1,2.5,726.5429723253953,1
0,33,1,1.625,0.0,1
1,21,1,3.0,0.0,1
1,42,1,5.125,0.0,1
1,41,1,2.5,639.6929655216146,1
1,22,0,3.085,0.0,1
1,34,0,8.5,0.0,1
1,28,0,1.5,194.59101490553132,1
1,33,0,3.165,0.0,1
1,48,1,15.5,667.2032945461067,1
1,27,0,2.0,632.7936783729194,1
1,22,1,0.04,598.141421125448,1
0,24,1,1.25,651.9147287940395,1
0,41,1,2.25,570.3782474656201,1
1,24,1,2.25,639.6929655216146,1
0,20,1,0.71,0.0,1
1,36,0,0.085,707.9184394609669,1
0,35,1,14.0,879.3308627496552,1
0,71,1,0.0,0.0,1
1,28,1,5.665,512.3963979403259,1
1,35,1,4.5,714.6772179452637,1
1,39,1,6.5,709.8375638590786,1
1,39,1,10.0,0.0,1
1,24,0,5.5,0.0,1
1,60,1,18.0,690.7755278982137,1
1,23,1,3.5,660.934924316738,1
1,26,0,5.25,0.0,1
1,48,1,3.5,0.0,1
1,41,1,7.0,0.0,1
1,55,1,5.0,908.8285725968877,1
1,53,1,8.665,0.0,1
0,18,0,1.0,621.4608098422192,1
0,50,1,2.29,0.0,1
1,65,1,20.0,0.0,1
0,17,1,1.375,0.0,1
0,18,1,0.085,0.0,1
0,37,1,0.125,0.0,1
1,23,1,0.25,0.0,1
1,18,1,0.5,0.0,1
0,22,0,2.46,0.0,1
1,19,1,2.0,0.0,1
1,22,1,0.665,0.0,1
1,25,1,0.625,886.2058677395472,1
0,47,1,13.875,744.0733707389261,1
1,33,1,4.5,675.343791859778,1
1,27,1,5.75,621.4608098422192,1
0,58,1,10.0,880.9862805379057,1
0,20,1,2.085,782.5245291431775,1
1,26,1,0.0,0.0,1
1,21,1,1.415,919.0137664658664,1
1,42,1,4.58,0.0,1
1,38,1,2.5,527.8114659230516,1
1,20,0,2.5,0.0,1
1,48,1,1.75,263.9057329615258,1
1,28,1,11.0,0.0,1
0,18,1,2.71,1019.3392153341007,1
1,18,1,1.5,570.3782474656201,1
1,33,0,2.04,979.9625913002037,1
1,45,1,14.0,760.0902459542082,1
0,19,1,0.29,459.51198501345897,1
1,24,1,4.75,609.5824562432225,1
1,21,1,0.29,0.0,1
1,40,1,20.0,709.0076835776092,1
1,41,1,5.0,0.0,1
0,17,1,1.0,800.6367567650246,1
1,23,1,0.46,0.0,1
1,28,1,0.25,760.5890001053122,0
1,18,1,1.085,256.49493574615366,0
1,20,1,2.0,0.0,0
1,20,1,0.5,0.0,0
0,20,1,0.04,690.7755278982137,0
0,24,0,0.165,0.0,0
1,32,1,5.75,0.0,0
0,52,0,0.0,0.0,0
0,48,1,0.335,478.7491742782046,0
0,20,0,0.0,346.5735902799727,0
1,50,1,0.0,0.0,0
1,17,0,0.04,658.2025138892826,0
1,18,0,0.0,0.0,0
0,32,1,1.25,0.0,0
