ADDRESS,Price,Bedrooms,Bathrooms,Garage,Build Year,Floor Area
1 Datchet Turn,270000,3,2,2.0,2011.0,109
1 McKenzie Corner,470000,4,2,2.0,2005.0,279
10 Addingham Crescent,455000,4,2,2.0,2004.0,200
10 Cleopatra Circuit,410000,4,2,2.0,2005.0,148
10 Corrour Bend,245000,3,2,1.0,2012.0,105
10 Daniels Place,394000,4,2,2.0,2006.0,223
10 Sanctuary Drive,385000,4,2,2.0,2007.0,146
10 Squires Avenue,410000,4,2,2.0,2006.0,183
10 Tranby Way,390000,4,2,2.0,2003.0,153
10 Yelka Way,460000,4,2,2.0,2002.0,190
11 Datchet Turn,160000,3,2,3.0,2011.0,111
11 Heathcote Way,335000,4,2,2.0,2005.0,200
11 Karda Way,382000,4,2,2.0,2006.0,146
11 Moombaki Avenue,508000,4,2,3.0,2005.0,192
11 Ostling Avenue,345000,4,2,2.0,2007.0,162
117 Millbrook Avenue,305000,3,2,1.0,2012.0,116
12 Ameer Crescent,353000,4,2,2.0,2005.0,174
12 Dewsbury Drive,360000,4,2,2.0,2008.0,193
13 Corrour Bend,360000,3,2,2.0,2012.0,140
13 Parkfield Boulevard,375000,4,2,2.0,2004.0,166
13 Unicorn Street,405000,4,2,2.0,2001.0,143
14 Champion Drive,290000,4,2,2.0,2012.0,143
14 Chieftain Street,366000,4,2,4.0,2001.0,190
14 John Forrest Circuit,420000,4,2,2.0,2006.0,191
14 Ludlow Way,290000,3,2,1.0,2012.0,110
14 Rewell Vista,430000,4,2,2.0,2006.0,213
14 Sanctuary Drive,518000,4,2,3.0,2007.0,236
14 Squires Avenue,455000,4,2,2.0,2007.0,226
15 Hunter Way,470000,4,2,2.0,2005.0,183
15 Keyham Street,300000,3,2,2.0,2009.0,110
15 Minstrell Road,433000,4,2,2.0,2005.0,190
15 Moston Crescent,399000,4,2,2.0,2009.0,173
16 Ameer Crescent,417000,4,2,2.0,2005.0,190
16 Leeuwin Chase,415000,4,2,2.0,2010.0,165
16 Mickle Way,360000,4,2,2.0,2006.0,180
16 Murphy Crescent,400000,4,2,2.0,2003.0,195
16 Parkfield Boulevard,429000,4,2,2.0,2002.0,163
16 Silverline Bend,350000,4,2,2.0,2008.0,155
16 Squires Avenue,452000,4,2,2.0,2005.0,236
16 Wimbledon Street,360000,4,2,2.0,2007.0,165
17 Greenham Way,300000,4,2,2.0,2006.0,165
17 John Forrest Circuit,368000,4,2,2.0,2008.0,184
17 Mccallum Parkway,347000,4,2,2.0,2005.0,137
17 Price Parkway,360000,4,2,2.0,2005.0,165
17 Warrior Pass,425000,4,2,2.0,2004.0,128
173 Bertram Road,466000,4,2,2.0,2005.0,254
18 Murphy Crescent,460000,4,2,2.0,2003.0,218
18 Ostling Avenue,430000,4,2,2.0,2007.0,201
